Age,Age Range,Gender,Occupation,Highest Level of Education,How many hours do you sleep on average per night?,"How would you rate your sleep quality overall? ( 1 = Very Poor, 5 = Very Good)",On how many days in a typical week do you engage in atleast 30 minutes of moderate physical activity?,"How many hours per day do you spend on screens (phone, laptop, or TV)?","On a scale of 1–5, how often do you feel stressed in your daily life? (1 = Very Low, 5 = Very High)","How many cups of caffeinated drinks (coffee, tea, energy drinks) do you consume per day?",Do you usually multitask while studying or working?,"Do you read or engage with long-form content (books, long articles, podcasts) regularly?",1. It’s very hard for me to concentrate on a difficult task when there are noises around.,"2. When I need to concentrate and solve a problem, I have trouble focusing my attention.","3. When I am working hard on something, I still get distracted by events around me.",4. My concentration is good even if there is music in the room around me.,"5. When concentrating, I can focus my attention so that I become unaware of what’s going on in the room around me.","6. When I am reading or studying, I am easily distracted if there are people talking in the same room.","7. When trying to focus my attention on something, I have difficulty blocking out distracting thoughts.",8. I have a hard time concentrating when I’m excited about something.,9. When concentrating I ignore feelings of hunger or thirst.,10. I can quickly switch from one task to another.,11. It takes me a while to get really involved in a new task.,12. It is difficult for me to coordinate my attention between the listening and writing required when taking notes during lectures.,13. I can become interested in a new topic very quickly when I need to.,14. It is easy for me to read or write while I’m also talking on the phone.,15. I have trouble carrying on two conversations at once.,16. I have a hard time coming up with new ideas quickly.,"17. After being interrupted or distracted, I can easily shift my attention back to what I was doing before.","18. When a distracting thought comes to mind, it is easy for me to shift my attention away from it.",19. It is easy for me to alternate between two different tasks.,20. It is hard for me to break from one way of thinking about something and look at it from another point of view.,Attention Score,Attention Class
25,25-31 years,Male,Student,Undergraduate,5-6 hours,4,1-3 days,6-7 hours,2,0 cup,Often,Sometimes,3,3,2,2,2,3,4,2,1,3,2,2,2,3,4,2,1,3,2,1,46,Medium
25,25-31 years,Male,Student,Higher Secondary,5-6 hours,3,3-5 days,Less than 5 hours,3,1-2 cups,Always,Often,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2,3,1,3,48,Medium
18,18-24 years,Male,Student,Undergraduate,7-8 hours,4,more than 5 days,8 hours or more,3,0 cup,Often,Sometimes,4,4,4,1,2,4,3,2,4,2,3,4,2,1,4,1,2,1,1,3,35,Low
21,18-24 years,Male,Student,Undergraduate,7-8 hours,3,1-3 days,6-7 hours,3,0 cup,Rarely,Sometimes,3,1,2,2,3,2,2,2,2,2,2,3,4,3,2,2,3,3,2,1,57,Medium
24,18-24 years,Female,Student,Undergraduate,7-8 hours,4,1-3 days,5-6 hours,4,0 cup,Sometimes,Sometimes,4,2,1,2,3,3,2,2,4,2,2,1,4,2,2,2,4,4,4,3,60,High
22,18-24 years,Female,Student,Undergraduate,5-6 hours,4,Never,5-6 hours,4,0 cup,Rarely,Sometimes,4,3,2,1,1,4,2,2,4,2,4,3,2,2,3,2,2,1,2,1,42,Medium
45,Above 38 years,Female,Working,Graduate,5-6 hours,4,3-5 days,5-6 hours,3,1-2 cups,Always,Often,2,1,2,3,2,3,2,1,4,4,1,1,4,1,2,2,2,4,4,2,64,High
42,Above 38 years,Male,Other,Postgraduate,7-8 hours,4,1-3 days,Less than 5 hours,3,1-2 cups,Rarely,Never,4,2,4,2,1,4,2,2,3,3,2,4,2,1,3,4,3,2,1,1,41,Medium
25,25-31 years,Female,Student,Undergraduate,5-6 hours,3,3-5 days,Less than 5 hours,3,0 cup,Always,Sometimes,2,2,2,2,3,3,1,2,4,4,2,1,3,2,2,2,1,2,3,2,58,Medium
24,18-24 years,Female,Both,Undergraduate,5-6 hours,3,3-5 days,8 hours or more,3,1-2 cups,Often,Often,2,2,1,4,2,3,2,3,2,2,2,3,4,1,3,3,2,2,2,2,50,Medium
24,18-24 years,Female,Student,Undergraduate,7-8 hours,5,1-3 days,8 hours or more,5,1-2 cups,Rarely,Never,4,4,4,2,4,4,3,3,3,2,4,3,3,3,3,3,3,3,3,3,43,Medium
22,18-24 years,Female,Student,Undergraduate,Less than 5 hours,2,Never,8 hours or more,5,0 cup,Rarely,Never,4,3,3,1,2,4,3,2,2,1,4,2,2,1,4,4,2,1,1,4,31,Low
25,25-31 years,Female,Student,Undergraduate,5-6 hours,4,1-3 days,5-6 hours,3,2-3 cups,Always,Often,4,1,2,3,3,2,2,2,3,4,1,3,4,4,2,2,4,3,3,2,63,High
23,18-24 years,Male,Student,Undergraduate,5-6 hours,2,1-3 days,8 hours or more,4,2-3 cups,Always,Sometimes,2,3,3,3,2,4,4,4,3,4,1,4,3,1,2,2,3,3,3,4,47,Medium
23,18-24 years,Male,Student,Undergraduate,5-6 hours,4,1-3 days,6-7 hours,4,0 cup,Sometimes,Sometimes,3,3,3,3,3,3,2,2,4,3,4,4,4,4,3,2,2,2,3,4,50,Medium
25,25-31 years,Male,Student,Undergraduate,Less than 5 hours,5,Never,Less than 5 hours,5,1-2 cups,Always,Often,3,4,4,4,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,3,50,Medium
25,25-31 years,Male,Student,Undergraduate,5-6 hours,2,Never,Less than 5 hours,3,2-3 cups,Often,Sometimes,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,Medium
19,18-24 years,Male,Student,Higher Secondary,7-8 hours,2,Never,6-7 hours,3,0 cup,Rarely,Never,4,4,4,1,2,2,3,3,1,3,4,4,3,2,3,2,2,1,2,2,37,Low
25,25-31 years,Male,Both,Graduate,Less than 5 hours,5,Never,8 hours or more,3,1-2 cups,Always,Sometimes,1,2,1,4,3,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,54,Medium
